ilce_adi,mahalle_adi,mahalle_adi,mahalle_koy_uavt,display_name,address,latitude,longitude,estimated_population_mahalle,structural_fragility_score,risk_score,risk_category,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,gecici_barinma,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,total_buildings_mahalle
adalar,Nizam Mahallesi,NÝZAM,40141.0,"Nizam Mahallesi, Adalar, İstanbul, Marmara Bölgesi, Türkiye","{""city"": ""Nizam Mahallesi"", ""archipelago"": ""Adalar"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.85771881987713,29.118960696684738,3943,1002.0,0.2086,EXTREME,842.0,426.0,217.0,1434.0,51.0,0.0,101.0,180.0,16.0,13.0,48.0,687.0,1.0,2.0,2.0,1485.0
adalar,Maden Mahallesi,MADEN,40140.0,"Maden Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34970, Türkiye","{""city"": ""Maden Mahallesi"", ""archipelago"": ""Adalar"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34970"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.85754690164466,29.129617920671425,4464,1056.9,0.2089,EXTREME,863.0,510.0,308.0,1637.0,44.0,0.0,104.0,192.0,22.0,18.0,64.0,847.0,1.0,1.0,2.0,1681.0
adalar,Kınalıada Mahallesi,KINALIADA,40143.0,"Kınalıada Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34977, Türkiye","{""city"": ""Kınalıada Mahallesi"", ""archipelago"": ""Adalar"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34977"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.90874069539833,29.048670873103365,2687,703.3,0.1033,EXTREME,610.0,244.0,158.0,923.0,89.0,0.0,53.0,97.0,5.0,3.0,15.0,420.0,0.0,1.0,1.0,1012.0
adalar,Heybeliada Mahallesi,HEYBELÝADA,40142.0,"Heybeliada Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34973, Türkiye","{""city"": ""Heybeliada Mahallesi"", ""archipelago"": ""Adalar"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34973"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.87473276314792,29.085812567615704,3704,968.0,0.2124,EXTREME,836.0,347.0,212.0,1359.0,36.0,0.0,101.0,175.0,25.0,21.0,66.0,763.0,1.0,1.0,2.0,1395.0
adalar,Burgazada Mahallesi,BURGAZADA,40139.0,"Burgazada Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34975, Türkiye","{""city"": ""Burgazada Mahallesi"", ""archipelago"": ""Adalar"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34975"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.879835890673846,29.057438263449924,2177,516.6,0.1047,EXTREME,433.0,214.0,173.0,802.0,18.0,0.0,54.0,99.0,8.0,6.0,24.0,398.0,0.0,0.0,1.0,820.0
kucukcekmece,Atakent Mahallesi,ATAKENT,40582.0,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye","{""suburb"": ""Atakent Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34307"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.04919736146943,28.776259240286787,23158,127.6,0.1016,EXTREME,6.0,210.0,962.0,283.0,337.0,558.0,8.0,25.0,24.0,10.0,82.0,3055.0,2.0,2.0,3.0,1178.0
kucukcekmece,Atatürk Mahallesi,ATATÜRK,40591.0,"Atatürk Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 364303, Türkiye","{""suburb"": ""Atatürk Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""364303"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.05545310445621,28.796397357988408,59782,1071.2,0.1021,EXTREME,317.0,2060.0,664.0,1765.0,1268.0,8.0,32.0,97.0,41.0,25.0,115.0,3108.0,1.0,1.0,2.0,3041.0
kucukcekmece,Beşyol Mahallesi,BEÞYOL,40603.0,"Beşyol Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Beşyol Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.99029252633085,28.797256512603337,4501,74.0,0.0544,HIGH,45.0,66.0,118.0,100.0,122.0,7.0,7.0,17.0,5.0,3.0,14.0,193.0,0.0,0.0,1.0,229.0
kucukcekmece,Cennet Mahallesi,CENNET,40607.0,"Cennet Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Cennet Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.990295285465685,28.779478487962223,23807,533.1,0.3433,EXTREME,367.0,413.0,431.0,579.0,632.0,0.0,88.0,134.0,126.0,85.0,330.0,3933.0,1.0,1.0,3.0,1211.0
kucukcekmece,Cumhuriyet Mahallesi,CUMHURÝYET,40601.0,"Cumhuriyet Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Cumhuriyet Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.00073175787943,28.77556397049929,44842,978.5,0.342,EXTREME,615.0,934.0,732.0,1257.0,1000.0,24.0,109.0,209.0,148.0,89.0,392.0,6445.0,2.0,2.0,5.0,2281.0
kucukcekmece,Fatih Mahallesi,FATÝH,40606.0,"Fatih Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Fatih Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.98783148158155,28.76722441552257,12267,328.7,0.2555,EXTREME,268.0,143.0,213.0,412.0,185.0,27.0,54.0,74.0,54.0,34.0,140.0,1489.0,1.0,1.0,2.0,624.0
kucukcekmece,Fevzi Çakmak Mahallesi,FEVZÝ ÇAKMAK,40596.0,"Fevzi Çakmak Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""Fevzi Çakmak Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.007941625270924,28.79044643851436,33970,897.2,0.2425,EXTREME,604.0,790.0,334.0,889.0,815.0,24.0,84.0,155.0,89.0,51.0,232.0,3312.0,1.0,1.0,2.0,1728.0
kucukcekmece,Gültepe Mahallesi,GÜLTEPE,40589.0,"Gültepe Mahallesi, İstanbul, Marmara Bölgesi, 34295, Türkiye","{""city"": ""Gültepe Mahallesi"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34295"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",40.99526291811004,28.791647150602476,29920,424.2,0.1915,EXTREME,213.0,486.0,823.0,502.0,1020.0,0.0,52.0,116.0,68.0,39.0,182.0,3207.0,1.0,1.0,3.0,1522.0
kucukcekmece,Halkalı Merkez Mahallesi,HALKALI MERKEZ,40590.0,"Halkalı Merkez Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye","{""suburb"": ""Halkalı Merkez Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""postcode"": ""34303"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.03444468073609,28.79438441673325,72246,1141.1,0.2145,EXTREME,283.0,2295.0,1097.0,1991.0,1566.0,118.0,57.0,163.0,92.0,53.0,255.0,5838.0,2.0,2.0,7.0,3675.0
kucukcekmece,İnönü Mahallesi,ÝNÖNÜ,40592.0,"İnönü Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye","{""suburb"": ""İnönü Mahallesi"", ""town"": ""Küçükçekmece"", ""province"": ""İstanbul"", ""region"": ""Marmara Bölgesi"", ""country"": ""Türkiye"", ""country_code"": ""tr""}",41.022154151582775,28.799461060246408,76099,1330.4,0.2829,EXTREME,436.0,2409.0,1026.0,2279.0,1532.0,60.0,95.0,243.0,143.0,83.0,385.0,7372.0,2.0,2.0,6.0,3871.0
